relationship_quality
excellent
excellent
good
excellent
excellent
excellent
good
good
good
good
good
excellent
good
excellent
excellent
excellent
good
fair
good
good
good
excellent
good
good
good
good
excellent
good
good
excellent
good
good
excellent
excellent
excellent
excellent
excellent
excellent
excellent
excellent
excellent
good
fair
excellent
excellent
excellent
good
good
excellent
good
excellent
good
good
good
excellent
good
fair
excellent
good
good
excellent
excellent
excellent
fair
good
excellent
excellent
excellent
excellent
excellent
good
excellent
good
excellent
excellent
good
excellent
good
good
good
excellent
good
excellent
good
good
excellent
excellent
fair
excellent
good
excellent
good
good
fair
excellent
excellent
good
excellent
good
poor
poor
excellent
good
good
excellent
excellent
fair
excellent
excellent
good
poor
good
excellent
excellent
excellent
excellent
good
good
good
excellent
good
good
excellent
good
good
excellent
excellent
fair
excellent
excellent
excellent
excellent
excellent
good
fair
good
fair
excellent
excellent
good
excellent
excellent
excellent
excellent
excellent
excellent
good
excellent
excellent
excellent
good
excellent
very_poor
good
excellent
good
fair
good
excellent
excellent
excellent
good
good
excellent
excellent
good
fair
excellent
good
good
good
good
poor
poor
fair
excellent
good
good
excellent
excellent
good
good
excellent
excellent
good
excellent
good
excellent
excellent
good
excellent
good
excellent
excellent
good
good
excellent
good
fair
good
good
good
good
good
excellent
excellent
excellent
excellent
good
excellent
fair
excellent
good
excellent
good
good
excellent
good
excellent
good
excellent
good
good
excellent
good
excellent
excellent
excellent
excellent
good
good
excellent
excellent
good
good
good
good
excellent
excellent
excellent
excellent
good
excellent
good
excellent
fair
excellent
good
good
good
poor
excellent
poor
excellent
excellent
fair
excellent
good
excellent
excellent
good
excellent
good
excellent
good
excellent
excellent
good
good
excellent
excellent
good
good
fair
good
excellent
good
good
good
fair
excellent
excellent
good
good
excellent
excellent
excellent
excellent
excellent
good
excellent
good
fair
excellent
excellent
excellent
fair
excellent
fair
excellent
excellent
good
good
good
excellent
good
excellent
excellent
fair
good
good
good
fair
excellent
excellent
good
good
good
excellent
excellent
excellent
good
excellent
good
good
good
poor
excellent
good
excellent
good
good
fair
good
excellent
good
excellent
excellent
excellent
excellent
excellent
good
excellent
fair
good
good
good
excellent
poor
good
excellent
good
fair
good
excellent
poor
good
excellent
good
excellent
excellent
excellent
excellent
good
excellent
good
good
good
excellent
good
excellent
good
good
excellent
good
good
fair
excellent
excellent
good
excellent
excellent
excellent
excellent
excellent
good
excellent
good
fair
good
good
fair
good
good
excellent
good
excellent
excellent
excellent
good
good
good
excellent
excellent
excellent
excellent
good
good
excellent
excellent
excellent
fair
good
good
fair
excellent
good
excellent
excellent
good
excellent
excellent
excellent
fair
excellent
good
excellent
excellent
good
excellent
good
good
good
good
excellent
good
good
good
excellent
good
excellent
excellent
excellent
excellent
excellent
excellent
excellent
excellent
good
excellent
excellent
poor
good
fair
excellent
excellent
fair
excellent
excellent
excellent
excellent
excellent
excellent
excellent
excellent
excellent
fair
excellent
good
good
good
good
excellent
excellent
poor
poor
good
excellent
excellent
good
good
excellent
excellent
good
excellent
fair
good
excellent
excellent
good
excellent
poor
excellent
excellent
excellent
good
good
excellent
good
excellent
excellent
good
excellent
excellent
excellent
fair
good
good
good
good
excellent
good
excellent
excellent
good
good
excellent
good
good
good
good
excellent
good
good
good
excellent
excellent
fair
excellent
good
good
good
excellent
excellent
excellent
good
fair
fair
excellent
excellent
excellent
excellent
excellent
good
good
excellent
excellent
fair
good
good
excellent
excellent
excellent
good
fair
excellent
excellent
good
excellent
